Quantile,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wavelength (nm),distance (cm)
99%_DR,1.68 E-3,nan,nan,1.96 E-3,nan,nan,1.83 E-3,nan,nan,1.51 E-3,nan,nan,1.44 E-3,nan,nan,1.82 E-3,nan,nan,1.98 E-3,nan,nan,1.64 E-3,nan,nan,686,1.5
95%_DR,1.29 E-3,nan,nan,1.71 E-3,nan,nan,1.57 E-3,nan,nan,9.64 E-4,nan,nan,9.03 E-4,nan,nan,1.42 E-3,nan,nan,1.73 E-3,nan,nan,9.88 E-4,nan,nan,686,1.5
5%_DR,2.72 E-4,nan,nan,3.31 E-4,nan,nan,2.80 E-4,nan,nan,1.87 E-4,nan,nan,1.40 E-4,nan,nan,2.06 E-4,nan,nan,2.66 E-4,nan,nan,2.49 E-4,nan,nan,686,1.5
1%_DR,2.12 E-4,nan,nan,2.01 E-4,nan,nan,1.77 E-4,nan,nan,1.14 E-4,nan,nan,8.82 E-5,nan,nan,1.17 E-4,nan,nan,2.06 E-4,nan,nan,1.88 E-4,nan,nan,686,1.5
Min_DR,1.49 E-4,1.82 E-1,1.25 E+1,1.16 E-4,2.53 E-1,1.09 E+1,9.46 E-5,2.41 E-1,1.22 E+1,5.38 E-5,2.83 E-1,1.33 E+1,6.54 E-5,3.04 E-1,1.17 E+1,5.38 E-5,2.83 E-1,1.33 E+1,1.52 E-4,2.03 E-1,1.15 E+1,1.33 E-4,1.80 E-1,1.32 E+1,686,1.5
Max_DR,2.42 E-3,4.49 E-2,3.02 E0,2.14 E-3,6.75 E-2,2.35 E0,2.23 E-3,5.88 E-2,2.76 E0,2.06 E-3,7.37 E-2,2.15 E0,1.81 E-3,7.94 E-2,3.57 E0,2.42 E-3,4.49 E-2,3.02 E0,2.69 E-3,3.04 E-2,2.10 E0,2.72 E-3,2.08 E-2,1.69 E0,701,1.5
99%_DR,1.78 E-3,nan,nan,2.01 E-3,nan,nan,1.95 E-3,nan,nan,1.41 E-3,nan,nan,1.60 E-3,nan,nan,1.91 E-3,nan,nan,2.13 E-3,nan,nan,1.83 E-3,nan,nan,701,1.5
95%_DR,1.46 E-3,nan,nan,1.76 E-3,nan,nan,1.72 E-3,nan,nan,1.07 E-3,nan,nan,1.00 E-3,nan,nan,1.54 E-3,nan,nan,1.88 E-3,nan,nan,1.13 E-3,nan,nan,701,1.5
5%_DR,3.42 E-4,nan,nan,3.94 E-4,nan,nan,3.53 E-4,nan,nan,2.46 E-4,nan,nan,1.87 E-4,nan,nan,2.66 E-4,nan,nan,3.14 E-4,nan,nan,2.94 E-4,nan,nan,701,1.5
1%_DR,2.70 E-4,nan,nan,2.72 E-4,nan,nan,2.45 E-4,nan,nan,1.63 E-4,nan,nan,1.39 E-4,nan,nan,1.68 E-4,nan,nan,2.59 E-4,nan,nan,2.30 E-4,nan,nan,701,1.5
Min_DR,2.09 E-4,1.60 E-1,1.17 E+1,1.67 E-4,2.23 E-1,1.02 E+1,1.24 E-4,2.17 E-1,1.19 E+1,7.77 E-5,2.39 E-1,1.33 E+1,9.29 E-5,2.68 E-1,1.14 E+1,7.77 E-5,2.39 E-1,1.33 E+1,1.99 E-4,1.78 E-1,1.11 E+1,1.79 E-4,1.79 E-1,1.16 E+1,701,1.5
Max_DR,2.43 E-3,4.52 E-2,2.89 E0,2.19 E-3,6.41 E-2,2.31 E0,2.36 E-3,5.13 E-2,2.55 E0,2.16 E-3,6.48 E-2,2.04 E0,1.94 E-3,7.71 E-2,3.10 E0,2.43 E-3,4.52 E-2,2.89 E0,2.74 E-3,2.66 E-2,2.03 E0,2.66 E-3,1.96 E-2,1.57 E0,724,1.5
99%_DR,1.91 E-3,nan,nan,2.06 E-3,nan,nan,2.05 E-3,nan,nan,1.70 E-3,nan,nan,1.81 E-3,nan,nan,2.00 E-3,nan,nan,2.16 E-3,nan,nan,1.94 E-3,nan,nan,724,1.5
