Quantile,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wavelength (nm),distance (cm)
1%_DR,0.00016147339311751272,nan,nan,0.0001448984159108184,nan,nan,0.00012994930015373788,nan,nan,7.671913252245856e-05,nan,nan,5.9039227076724505e-05,nan,nan,7.855019824659675e-05,nan,nan,0.00016477046725574891,nan,nan,0.00015163673696816303,nan,nan,673,1.5
Min_DR,0.00010567034567915454,0.219423,12.561047,7.880633137740214e-05,0.30313366666666663,10.979082666666669,6.825224510933166e-05,0.41735733333333336,8.844211666666666,3.335084744929902e-05,0.34396133333333334,13.37968,4.484086218038815e-05,0.339914,12.249653333333333,3.335084744929902e-05,0.34396133333333334,13.37968,0.00010809091400072262,0.2615125,10.9037735,9.418240969182799e-05,0.2027355,13.920864,673,1.5
Max_DR,0.001991421991565378,0.05847266666666667,3.9426543333333335,0.002179088657040316,0.06279766666666667,1.9977803333333333,0.0020065000988095105,0.07808666666666667,2.5174773333333333,0.001924674673808527,0.086463,2.0634875,0.0017818458919652332,0.08309233333333334,3.4912310000000004,0.002179088657040316,0.06279766666666667,1.9977803333333333,0.002629375413274739,0.03390205030824573,2.1431140533161854,0.002672745338615437,0.023135574501162864,1.691831048760707,686,1.5
99%_DR,0.0016817125621452931,nan,nan,0.0019561810006758604,nan,nan,0.001829663058626354,nan,nan,0.0015086042106744382,nan,nan,0.0014412394603583862,nan,nan,0.0018225588855033152,nan,nan,0.001976462580815498,nan,nan,0.0016392036487584225,nan,nan,686,1.5
95%_DR,0.0012933601584552482,nan,nan,0.0017089782314724169,nan,nan,0.0015726858674667517,nan,nan,0.0009642513830883056,nan,nan,0.000902882633582233,nan,nan,0.0014240207326339965,nan,nan,0.001730512200980097,nan,nan,0.0009882988564637102,nan,nan,686,1.5
5%_DR,0.00027151436812610646,nan,nan,0.00033104273396118933,nan,nan,0.00027950181947941025,nan,nan,0.00018744004566730125,nan,nan,0.00013952831124010024,nan,nan,0.00020567593668177972,nan,nan,0.0002661948727321276,nan,nan,0.00024873452303618567,nan,nan,686,1.5
1%_DR,0.0002117598497933932,nan,nan,0.00020096829851983433,nan,nan,0.00017722415998605215,nan,nan,0.00011436551204621787,nan,nan,8.824488964963065e-05,nan,nan,0.00011734251191907266,nan,nan,0.00020613242922802062,nan,nan,0.00018790425392299084,nan,nan,686,1.5
Min_DR,0.0001489769151960976,0.181521,12.497507,0.00011631719168493933,0.2527703333333333,10.865581,9.464901314754671e-05,0.240806,12.239002,5.376743740601173e-05,0.28298466666666666,13.317338333333332,6.536410117897699e-05,0.30426966666666666,11.732917,5.376743740601173e-05,0.28298466666666666,13.317338333333332,0.00015216751487910036,0.20253,11.453639,0.00013340161151455737,0.179786,13.1827355,686,1.5
Max_DR,0.0024177509719246807,0.04489,3.015598,0.002142249222505649,0.067469,2.34931,0.002232345086332778,0.058781,2.757163,0.002064982456200761,0.073663,2.1506605,0.001805363657611456,0.07940349999999999,3.574494,0.0024177509719246807,0.04489,3.015598,0.002685451350339163,0.030444282771141102,2.1038896472568367,0.0027171946951500244,0.02075495312407325,1.6905660131459481,701,1.5
99%_DR,0.0017819406300681223,nan,nan,0.002012645952885562,nan,nan,0.0019483144188084424,nan,nan,0.0014100207677569525,nan,nan,0.0016020022962625114,nan,nan,0.0019088536073176164,nan,nan,0.002125464947712041,nan,nan,0.0018324770092116428,nan,nan,701,1.5
