Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
Max_DR,0.994870744444388,0.2079115,5.2087140000000005,0.9956621819144255,0.209403,3.57506,0.9965841322028085,0.2620746666666667,3.91323,0.9954432137114166,0.262321,7.2362253333333335,0.9956043872497609,0.270511,7.27477,0.9965841322028085,0.2620746666666667,3.91323,0.9954404015621813,0.2575305,6.940604,0.9928565454569553,0.1458618,4.2700666,784,1.5
99%_DR,0.9932035807002558,,,0.9934627733914064,,,0.9939361885123945,,,0.9940979024407335,,,0.994326205481162,,,0.9939180295065193,,,0.9925455587149633,,,0.9923085114969963,,,784,1.5
95%_DR,0.991938039120822,,,0.9925978673571648,,,0.992509057587664,,,0.9930004888614183,,,0.9929658487333695,,,0.992735435272743,,,0.9908998712055376,,,0.9910747330111391,,,784,1.5
5%_DR,0.98275241082036,,,0.9843511132860795,,,0.9850755589173418,,,0.9868287091115889,,,0.98639402184632,,,0.9848611917822677,,,0.9806799607750386,,,0.9833783770169157,,,784,1.5
1%_DR,0.9773344464231188,,,0.9817702098871051,,,0.9818312731343025,,,0.9828975862740623,,,0.9819780013101455,,,0.9809092582101431,,,0.9787486278789039,,,0.9807193265877664,,,784,1.5
Min_DR,0.97341551722976,0.081274,12.38149,0.9724124170509721,0.069104,10.045231,0.9676999628018198,0.054415,8.750608,0.9735164070890743,0.073818,10.522319,0.9649427902320846,0.06519849999999999,12.8973945,0.9649427902320846,0.06519849999999999,12.8973945,0.9701063499189597,0.0260148126651441,1.7483217010501266,0.9673452028627153,0.022241131297500744,1.317128358621389,784,1.5
Max_DR,0.9950772580864834,0.213347,5.10551,0.9956470948190536,0.2054485,3.3813940000000002,0.9967365125323212,0.26718200000000003,3.686951666666667,0.9956176831250889,0.2631206666666667,6.7793133333333335,0.9956308624583895,0.265655,6.89535,0.9967365125323212,0.26718200000000003,3.686951666666667,0.9956094358976167,0.2599945,6.613405,0.9951454673778171,0.19345625,3.75137325,814,1.5
99%_DR,0.9934111974083507,,,0.9935289330947972,,,0.9940117123884931,,,0.9943197037360599,,,0.9943730030773177,,,0.9941219848504174,,,0.9926794490689798,,,0.9941624120115862,,,814,1.5
95%_DR,0.9922892753106435,,,0.9927409131428766,,,0.9927318579725204,,,0.9932669252634309,,,0.9931492529918767,,,0.9929153011343685,,,0.9913141673244182,,,0.9923730086235442,,,814,1.5
5%_DR,0.982682311886586,,,0.9842018981224969,,,0.9847159320713695,,,0.9870354012183413,,,0.9865503721141501,,,0.9846175003056337,,,0.9807603289750763,,,0.9836797753088878,,,814,1.5
1%_DR,0.976208711530843,,,0.9812376366510318,,,0.9811027292947688,,,0.9840422740226542,,,0.9822111714975867,,,0.980575063963972,,,0.9785469482371488,,,0.9783921891744336,,,814,1.5
Min_DR,0.9722726814851537,0.0761135,11.8122155,0.9712334497532985,0.06429,9.529553,0.9671917966951351,0.051436,8.24276,0.9721578540094085,0.06902,10.159493,0.9634319832098647,0.059921,12.0293495,0.9634319832098647,0.059921,12.0293495,0.9719305284844124,0.02814398828627161,1.6768232343824236,0.9724812781398151,0.02809234150497563,1.209470398892963,814,1.5
Max_DR,0.9955758066668513,0.228419,4.856519,0.9959587909747505,0.217586,3.3268709999999997,0.9968739792601228,0.27761399999999997,3.727661666666666,0.9958878351211626,0.2763333333333333,6.756062333333333,0.9959242146480874,0.277552,6.713627,0.9968739792601228,0.27761399999999997,3.727661666666666,0.9972625087232008,0.2680525,1.958944,0.9954923670954099,0.203643,3.62443975,827,1.5
99%_DR,0.9940084790242327,,,0.9939774136916846,,,0.9944615357670353,,,0.9947982552146801,,,0.9946898177082483,,,0.9945517199603712,,,0.9940220489504992,,,0.9947544460484273,,,827,1.5
