Quantile,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI,wavelength (nm),distance (cm)
Min_DR,2.1042102359712017e-06,3.3334614284559026e-06,1.2520279380518324e-06,7.495816482591951e-07,1.02480029382073e-06,7.495816482591951e-07,3.732724356541283e-06,9.400862280358854e-07,827,1.5
Max_DR,0.000192915422079661,0.00040040593659970133,0.0001951453215110862,0.00018626245746224598,0.00010108087787253938,0.00040040593659970133,0.0004252747794877531,0.0005764601557835654,673,2
99%_DR,8.473035854254438e-05,0.0002989035255352581,0.00012744046280855926,5.469225946159439e-05,5.2829618428508184e-05,0.00013971424153096527,0.00012145940874673107,4.897856764226652e-05,673,2
95%_DR,3.931260631007191e-05,0.00011214516724495552,7.807126152410076e-05,1.9400530782972666e-05,1.9217366954293265e-05,5.4569439180709966e-05,8.753616981499472e-05,2.0042327666263814e-05,673,2
5%_DR,1.2669580374565519e-06,1.8435930122560967e-06,1.3310093279949875e-06,4.81347869107115e-07,2.7206532993297267e-07,6.438730928990351e-07,1.5558861701923178e-06,1.60362050511701e-06,673,2
1%_DR,7.120692625119859e-07,5.394894031926904e-07,4.815225847190729e-07,1.5314505442277481e-07,9.991535967889403e-08,1.703849879715604e-07,8.452102039822216e-07,7.115324466346269e-07,673,2
Min_DR,3.3265254909127123e-07,1.6278768457231044e-07,1.0968425995346649e-07,2.9385033385820657e-08,5.214317862837246e-08,2.9385033385820657e-08,3.189720995489616e-07,2.8001012047231223e-07,673,2
Max_DR,0.0002309392409121635,0.00042499476163922114,0.00026027198173495073,0.0002358049628205837,0.000130223913581799,0.00042499476163922114,0.00044259564841169717,0.0005810778356249612,686,2
99%_DR,0.00011233218800490195,0.0003257395958916814,0.00017196815466378334,8.69431611658144e-05,8.143458965339465e-05,0.0001811705969923793,0.00018828130023864536,0.00010324850235424526,686,2
95%_DR,5.903785054115279e-05,0.00014320900798329658,0.00010962351470443831,3.0409905761701224e-05,2.6418474598366487e-05,7.726825563219386e-05,0.00012264635326701969,3.2815353335390274e-05,686,2
5%_DR,2.3004016981437377e-06,3.268586161741076e-06,2.372453773921665e-06,1.0078748408472349e-06,5.681581091470229e-07,1.218561802960971e-06,2.120717700861596e-06,2.081342330907192e-06,686,2
1%_DR,1.3171363586553054e-06,1.0772285094078644e-06,9.416915492764939e-07,3.6249422243055355e-07,2.179115449620833e-07,3.723344540678026e-07,1.2732174022077208e-06,1.184913064162967e-06,686,2
Min_DR,6.766662369141383e-07,3.7266821687726747e-07,2.5762368202941424e-07,8.108217606321517e-08,1.1341259549614334e-07,8.108217606321517e-08,6.878298109578027e-07,5.717432883348401e-07,686,2
Max_DR,0.00027804885997438606,0.00045333963185968884,0.0002493391434097645,0.00026293225413821233,0.00015491630610351282,0.00045333963185968884,0.00047151951193873093,0.0006026223191793422,701,2
